Name,Release Date,Holiday(Y/N),Actor,Times Celebex Male,Times Celebex Female,Box Office Range,Target,Box Office Sales,Duration,Duration Range,Facebook Likes (3 month),Facebook(2 months),Facebook(1 month),Facebook(15 days),Facebook(1 week),Facebook(3 days),Trend,Promotion before 3 months,Log(start/average),log(end/average),Increase 3-2,Increase 2-1,Increase 1-15 days,Increase 15-7 days,Increase 7-3 days,isSequel,isUniversal,isAction,isComedy,isThriller,isAdventure,isRomantic,isDrama,isBiography,isCrime,isMusical,isSport,isMystery,isHorror
Moh Maya Money,25/11/16,Y,"Ranvir Shorey, Neha Dhupia",0,0,<25,<50,"27,00,000",1:48,<2,479,495,12839,12691,12868,12914,1.639997968,1,-1.765996737,-0.987133208,3.34,2493.74,-1.15,1.39,0.36,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Dongri Ka Raja,11/11/2016,Y,"Ronit Roy, Gashmeer Mahajani, Reecha Sinha",0,0,<25,<50,"30,00,000",2:19,2 - 2.5,0,0,47893,48061,48519,48618,1.682598133,0,-0.261701214,-0.411396901,0,0,0.35,0.95,0.2,0,1,1,0,0,0,1,1,0,0,0,0,0,0
The Silent Heroes,12/11/2015,N,"Maanuv Bhardawaj, Priyanka Panchal, Mann Bagga, Simran Deep, Nirmal Kumar Pant",0,0,<25,<50,"18,45,000",1:57,<2,3058,3286,9234,20594,28653,33979,2.620825299,1,-0.960894769,-0.566983397,7.46,181.01,123.02,39.13,18.59,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Kajarya,12/4/2015,N,"Meenu Hooda, Ridhima Sud, Kuldeep Ruhil",0,0,<25,<50,"2,25,000",2:12,2 - 2.5,1557,1556,3931,9332,11775,13129,2.331888743,1,-1.254043638,-0.979962342,-0.06,152.63,137.4,26.18,11.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Angry Indian Godessess,27/11/15,Y,"Sarah-Jane Dias, Tannishtha Chatterjee, Anushka Manchanda, Sandhya Mridul",0,0,<25,<50,"2,10,75,000",2:01,2 - 2.5,2021,15345,16853,17734,19166,19742,1.387955399,1,-1.140765937,-0.802802843,659.28,9.83,5.23,8.07,3.01,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Charlie Kay Chakkar Mein,11/6/2015,N,Naseeruddin Shah,0,0,<25,<50,"74,45,000",1:42,<2,0,3427,77702,81155,83944,85422,1.734611823,0,-1.125976925,-0.166624255,0,0,4.44,3.44,1.76,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Love Exchange,30/10/15,N,"Mohit Madan, Jyoti Sharma",0,0,<25,<50,"8,95,000",2:02,2 - 2.5,0,0,3432,7410,16804,34617,6.26076105,0,-1.406425977,-0.558904562,0,0,115.91,126.77,106,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Guddu Ki Gun,30/10/15,N,"Kunal Khemu, Payel Sarkar, Aparna Sharma, Sumeet Vyas",0,0,<25,<50,"1,46,75,000",2:10,2 - 2.5,0,0,0,3937,4121,11549,7.166170266,0,-1.428131848,-1.035649609,0,0,0,4.67,180.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Once upon a time in Bihar,30/10/15,N,"Ashish Vidyarthi, Kranti Prakash Jha, Ajay Kumar, Arti Puri, Pankaj Jha, Deepak Singh",0,0,<25,<50,"5,50,000",2:02,2 - 2.5,0,0,129,13786,14063,14820,2.648509543,0,-2.831383546,-0.927345787,0,0,10586.82,2.01,5.38,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Titli,30/10/15,N,"Shashank Arora, Ranvir Shorey, Amit Sial, Lalit Behl",0,0,<25,<50,"1,78,70,000",1:56,<2,3338,3460,3760,4214,4336,4520,1.18275068,1,-0.922845918,-1.443055556,3.65,8.67,12.07,2.9,4.24,0,1,1,0,0,0,0,1,0,1,0,0,0,0
Pyar Ka Punchnama 2,16/10/15,Y,"Kartik Aaryan, Nushrat Bharucha, Sonalli Sehgall, Omkar Kapoor",0,0,50 - 75,50-100,"60,38,25,000",2:17,2 - 2.5,0,35,320652,325629,339780,360461,1.827717585,0,-3.116822986,0.458664293,0,916048.57,1.55,4.35,6.09,0,1,0,1,0,0,1,1,0,0,0,0,0,0
Jazbaa,10/9/2015,Y,"Aishwarya Rai Bachchan,?Irrfan Khan,?Shabana Azmi,",0,1,<25,<50,"22,47,50,000",1:59,<2,5234,5416,36780,38702,40010,41424,1.641959062,1,-0.727498532,-0.480941957,3.48,579.1,5.23,3.38,3.53,0,0,1,0,0,0,0,1,0,1,0,0,0,0
